Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Afghanistan,“Commander Sword” protests,18-Nov,Not free,The arrest of a popular ethnic Hazara militia commander known as Commander Sword.,Conflict between the national government and ethnic minorities; allegations that the Hazara ethnic group had been unfairly targeted by authorities.,"<1,000",Ethnic Hazaras.,1 week,The arrested commander was released after two days.,,X,X,X,Over 1 million,X,X,,X,,Kabul
Afghanistan,Electoral protests,19-Nov,Not free,Delays in the announcement of final vote counts from the September 2019 presidential election.,"Concerns about electoral fraud and controversy over an electoral recount, which looked to favor incumbent President Ashraf Ghani.",">1,000",Supporters of opposition presidential candidate Abdullah Abdullah.,2 months,No policy/leadership change in response to protests.,,,X,X,Thousands,,,,,X,Kabul
Afghanistan,Truck bombing protests,17-Jun,Not free,"A truck bombing on May 31, 2017, which killed over 150 people.",Anger at the inability of President Ashraf Ghani’s national unity government to curb violence.,">1,000",General public.,1 week,"Ghani fired two ministers but also engaged in the bloodiest crackdown in decades. Half a dozen people were killed by security forces, and dozens were wounded.",,,X,X,Tens of thousands,,,,X,,Kabul
Albania,Corruption and rising price protests,22-Nov,Partly Free,Increasing costs and rising poverty.,Frustration with perceived government failure to combat inflation and corruption.,">10,000",General public.,3 months,No policy/leadership change in response to protests.,,X,X,X,Tens of thousands,,,,,,Tirana
Albania,Local elections protests,19-Feb,Partly free,Suspicions that Prime Minister Edi Rama engaged in electoral fraud to win the country's 2017 parliamentary elections.,Electoral fraud and corruption.,">10,000",Opposition parties.,5 months,No policy/leadership change in response to the protests.,,,X,,Thousands,X,,,,X,Tirana
Albania,Police violence protests,20-Dec,Partly free,The fatal shooting of Klodian Rasha by an officer enforcing a coronavirus curfew.,Concerns about excessive force being used by law enforcement to impose strict coronavirus measures.,>500,"General public, especially youth.",1 week,No policy/leadership change in response to protests.,,,X,,Hundreds,,,X,,X,Tirana
Albania,Rising price protests,22-Mar,Partly free,Rapid increases in food and fuel prices.,Frustration with high poverty and low wages and perceived government inaction.,">1,000",General public.,1 week,No policy/leadership change in response to protests.,,X,X,X,Thousands,,,,X,,Tirana
Algeria,Protests against “Le Pouvoir”,19-Feb,Not free,Then president Abdelaziz Bouteflika’s decision to seek a fifth term as president.,"Economic downturn, corruption and nepotism, and desire for removal of entrenched military and political elites.",">1,000,000","Opposition parties; a wide range of everyday citizens, such as bankers, truck drivers, teachers, students.",1 year (first round); 2 months (second wave),"Bouteflika resigned. Military and political elites retained power in subsequent elections, triggering further unrest.",,X,X,X,Millions,X,X,,X,,Algiers
Angola,Fuel price hike protests,23-Jun,Not free,"The government of João Lourenço cut fuel subsidies on June 2, causing the price of fuel nearly to double.",Anger over the rising price of fuel in Angola.,">1,000","Young people, motorcyle taxi drivers.",2 weeks,"On June 8, Lourenço fired economic coordination minister Manuel Nunes Junior and replaced him with the central bank governor.",,X,X,,Thousands,X,,X,,,Luanda
Angola,2022 election protests,22-Aug,Not free,The Constitutional Court threw out a complaint by the runner-up of the 2022 election which claimed that the vote was flawed.,Perceived unfairness of electoral processes; frustrations with nearly five decades of uninterrupted MPLA rule.,">1,000",General public.,1 month,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Luanda
